map,scenario,n,passable,wall_pct,avg_degree,n_roads,road_frac,tort_p50,tort_p95,tort_max,w1_exp,w3_exp,w5_exp,w2_opt,w3_opt,w4_opt,w5_opt
wasteland,with_roads,1600,1156,27.7,5.43,72,0.062,4.845,5.909,7.083,430,238,84,1.0684,1.3495,1.5043,2.2267
bar_chart,no_roads,1400,1032,26.3,5.68,0,0.0,1.087,1.981,5.867,245,156,75,1.0,1.0,1.0,1.0
bar_chart,with_roads,1400,1032,26.3,5.68,60,0.058,4.471,7.381,28.167,231,103,51,1.0116,1.1318,1.1684,1.4439
binary_tree,no_roads,1230,1021,17.0,6.81,0,0.0,1.132,2.231,3.8,437,286,143,1.0,1.0,1.0,1.0
binary_tree,with_roads,1230,1021,17.0,6.81,48,0.047,4.9,8.654,16.0,417,230,117,1.0143,1.2241,1.5769,2.2292
butterfly,no_roads,961,633,34.1,6.13,0,0.0,1.029,1.1,1.2,59,39,16,1.0,1.0,1.0,1.0
butterfly,with_roads,961,633,34.1,6.13,0,0.0,1.029,1.1,1.2,59,39,16,1.0,1.0,1.0,1.0
cold,no_roads,1369,1138,16.9,6.62,0,0.0,1.065,1.494,1.9,476,298,120,1.0,1.0,1.0,1.0
cold,with_roads,1369,1138,16.9,6.62,33,0.029,4.7,5.929,9.5,421,207,81,1.0,1.1429,1.3559,1.469
cubes,no_roads,2500,1944,22.2,6.25,0,0.0,1.224,2.268,3.85,909,596,310,1.0,1.0,1.0,1.0
cubes,with_roads,2500,1944,22.2,6.25,82,0.042,4.511,9.4,17.417,739,331,183,1.0816,1.3061,1.3061,1.5496
gaussian,no_roads,700,599,14.4,6.59,0,0.0,1.05,1.453,2.325,275,178,70,1.0,1.0,1.0,1.0
gaussian,with_roads,700,599,14.4,6.59,31,0.052,4.636,5.5,7.75,253,140,56,1.0,1.1087,1.1087,1.3913
git_branches,no_roads,1750,1352,22.7,6.24,0,0.0,1.067,2.645,3.529,314,223,111,1.0,1.0,1.0,1.0
git_branches,with_roads,1750,1352,22.7,6.24,26,0.019,5.125,13.0,17.643,306,190,99,1.0,1.0,1.4331,2.5
mandelbrot,no_roads,2050,1692,17.5,6.75,0,0.0,1.121,1.793,2.444,683,471,236,1.0,1.0,1.0,1.0
mandelbrot,with_roads,2050,1692,17.5,6.75,56,0.033,5.125,6.946,9.385,637,388,187,1.0069,1.0069,1.6226,2.12
pixel_forest,no_roads,1125,874,22.3,6.08,0,0.0,1.157,1.8,7.7,321,215,112,1.0,1.0,1.0,1.0
pixel_forest,with_roads,1125,874,22.3,6.08,33,0.038,5.0,7.944,32.25,302,160,67,1.0169,1.2333,1.3458,1.3458
settlement,no_roads,1900,1614,15.1,6.87,0,0.0,1.05,1.325,2.625,640,386,136,1.0,1.0,1.0,1.0
settlement,with_roads,1900,1614,15.1,6.87,131,0.081,3.885,5.895,8.643,551,249,83,1.2338,1.4688,1.84,2.0469
sierpinski_evil,no_roads,961,659,31.4,6.02,0,0.0,1.1,1.7,2.208,277,178,78,1.0,1.0,1.0,1.0
sierpinski_evil,with_roads,961,659,31.4,6.02,48,0.073,4.967,6.786,9.833,250,129,57,1.0,1.2897,1.3851,1.9012
socket,no_roads,1000,632,36.8,5.52,0,0.0,1.321,4.93,9.657,311,245,173,1.0,1.0,1.0,1.0
socket,with_roads,1000,632,36.8,5.52,124,0.196,2.625,9.0,12.786,225,107,98,1.087,1.087,1.52,2.1284
starry_night,no_roads,2050,1730,15.6,6.77,0,0.0,1.06,1.75,3.14,638,375,135,1.0,1.0,1.0,1.0
starry_night,with_roads,2050,1730,15.6,6.77,60,0.035,4.92,8.417,15.7,601,313,109,1.284,1.7778,1.7778,2.2432
tiles,no_roads,1200,808,32.7,4.94,0,0.0,1.377,2.1,4.475,270,184,105,1.0,1.0,1.0,1.0
tiles,with_roads,1200,808,32.7,4.94,56,0.069,4.882,9.0,22.375,242,130,74,1.0229,1.1535,1.3125,1.6667
wasteland_oasis,no_roads,1600,960,40.0,4.55,0,0.0,1.091,1.446,2.4,438,265,107,1.0,1.0,1.0,1.0
wasteland_oasis,with_roads,1600,960,40.0,4.55,88,0.092,3.9,6.188,10.5,378,181,77,1.1304,1.3864,1.5144,1.9011
